intraday_price,market_cap,price_change,stock_name,volume
36.04,15.397B,(-0.72%),Howmet Aerospace Inc. (HWM),"3,704,939"
9.72,20.363B,(+0.26%),Deutsche Bank Aktiengesellschaft (DB),"5,238,864"
7.25,3.742B,(0.00%),"Under Armour, Inc. (UA)","5,226,374"
94.32,62.273B,(+1.17%),"Fiserv, Inc. (FISV)","5,905,740"
65.37,47.649B,(+0.20%),"Corteva, Inc. (CTVA)","5,373,115"
7.02,2.523B,(-1.00%),Bausch Health Companies Inc. (BHC),"5,370,669"
32.99,83B,(+0.03%),GSK plc (GSK),"5,379,042"
24.01,12.943B,(+1.46%),"Healthpeak Properties, Inc. (PEAK)","5,383,023"
42.64,9.115B,(-0.33%),"Caesars Entertainment, Inc. (CZR)","5,342,776"
42.49,35.089B,(-0.61%),The Bank of New York Mellon Corporation (BK),"3,805,813"
10.22,2.875B,(+0.29%),The Goodyear Tire & Rubber Company (GT),"5,473,500"
11.33,1.91B,(0.00%),"American Eagle Outfitters, Inc. (AEO)","5,499,994"
33.54,40.752B,(+0.39%),"The Williams Companies, Inc. (WMB)","5,262,513"
98.35,12.469B,(-1.25%),"Etsy, Inc. (ETSY)","6,295,744"
134.44,325.338B,(+0.08%),The Procter & Gamble Company (PG),"5,555,470"
7.75,2.727B,(+1.55%),"Luminar Technologies, Inc. (LAZR)","5,576,929"
33.87,14.157B,(-0.06%),"Chewy, Inc. (CHWY)","6,335,062"
8.11,5.495B,(+1.85%),Vipshop Holdings Limited (VIPS),"6,329,071"
43.02,12.178B,(+0.28%),"Match Group, Inc. (MTCH)","6,450,568"
99.20,250.573B,(+0.15%),"Merck & Co., Inc. (MRK)","8,354,577"
76.00,202.954B,(0.00%),Oracle Corporation (ORCL),"7,039,499"
32.74,3.423B,(-0.15%),Wayfair Inc. (W),"6,354,477"
17.06,29.88B,(0.00%),"Coupang, Inc. (CPNG)","6,429,880"
58.34,94.473B,(-0.52%),Rio Tinto Group (RIO),"6,492,305"
9.60,6.754B,(0.00%),Sibanye Stillwater Limited (SBSW),"6,766,417"
92.63,14.036B,(-0.11%),"Expedia Group, Inc. (EXPE)","6,565,452"
